filedFor,nameOfIssuer,ticker,no_shares,value
2020-03-31,SIRIUS XM HLDGS INC,SIRI,132418729,654149000
2020-03-31,SOUTHWEST AIRLS CO,LUV,53642713,1910218000
2020-03-31,SPDR S&P 500 ETF TR,SPY,39400,10155000
2020-03-31,STORE CAP CORP,STOR,18621674,337425000
2020-03-31,SYNCHRONY FINL,SYF,20128000,323860000
2020-03-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,384248000
2020-03-31,UNITED CONTL HLDGS INC,UAL,22157608,699073000
2020-03-31,UNITED PARCEL SERVICE INC,UPS,59400,5549000
2020-03-31,US BANCORP DEL,USB,132459618,4563233000
2020-03-31,VANGUARD INDEX FDS,VOO,43000,10183000
2020-03-31,VERISIGN INC,VRSN,12815613,2307964000
2020-03-31,VISA INC,V,10562460,1701823000
2020-03-31,WELLS FARGO & CO NEW,WFC,323212918,9276210000
2020-06-30,AMAZON COM INC,AMZN,533300,1471279000
2020-06-30,AMERICAN EXPRESS CO,AXP,151610700,14433339000
2020-06-30,APPLE INC,AAPL,245155566,89432750000
2020-06-30,AXALTA COATING SYS LTD,AXTA,24070000,542779000
2020-06-30,BANK AMER CORP,BAC,925008600,21968954000
2020-06-30,BANK OF NEW YORK MELLON CORP,BK,72357453,2796615000
2020-06-30,BARRICK GOLD CORPORATION,GOLD,20918701,563550000
2020-06-30,BIOGEN INC,BIIB,643022,172041000
2020-06-30,CHARTER COMMUNICATIONS INC N,CHTR,5213461,2659074000
2020-06-30,COCA COLA CO,KO,400000000,17871999000
2020-06-30,COSTCO WHSL CORP NEW,COST,4333363,1313919000
2020-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,38095570,3014883000
2020-06-30,GENERAL MTRS CO,GM,74681000,1889429000
2020-06-30,GLOBE LIFE INC,GL,6353727,471636000
2020-06-30,JOHNSON & JOHNSON,JNJ,327100,46000000
2020-06-30,JPMORGAN CHASE & CO,JPM,22208427,2088925000
2020-06-30,KRAFT HEINZ CO,KHC,325634818,10384494000
2020-06-30,KROGER CO,KR,21940079,742672000
2020-06-30,LIBERTY GLOBAL PLC,LBTYA,19310000,422117000
2020-06-30,LIBERTY GLOBAL PLC,LBTYK,7346968,158033000
2020-06-30,LIBERTY LATIN AMERICA LTD,LILA,2630792,25572000
2020-06-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,12121000
2020-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,512980000
2020-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1488525000
2020-06-30,M & T BK CORP,MTB,4536174,471626000
2020-06-30,MASTERCARD INC,MA,4564756,1349798000
2020-06-30,MONDELEZ INTL INC,MDLZ,578000,29553000
2020-06-30,MOODYS CORP,MCO,24669778,6777528000
2020-06-30,PNC FINL SVCS GROUP INC,PNC,5350586,562935000
2020-06-30,PROCTER & GAMBLE CO,PG,315400,37712000
2020-06-30,RH,RH,1708348,425208000
2020-06-30,SIRIUS XM HLDGS INC,SIRI,50000000,293500000
2020-06-30,SPDR S&P 500 ETF TR,SPY,39400,12149000
2020-06-30,STORE CAP CORP,STOR,24415168,581325000
2020-06-30,SYNCHRONY FINL,SYF,20128000,446036000
2020-06-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,527592000
2020-06-30,UNITED PARCEL SERVICE INC,UPS,59400,6604000
2020-06-30,US BANCORP DEL,USB,131961832,4858836000
2020-06-30,VANGUARD INDEX FDS,VOO,43000,12187000
2020-06-30,VERISIGN INC,VRSN,12815613,2650654000
2020-06-30,VISA INC,V,9987460,1929278000
2020-06-30,WELLS FARGO & CO NEW,WFC,237582705,6082118000
2020-09-30,ABBVIE INC,ABBV,21264316,1862541000
2020-09-30,AMAZON COM INC,AMZN,533300,1679217000
2020-09-30,AMERICAN EXPRESS CO,AXP,151610700,15198971000
2020-09-30,APPLE INC,AAPL,944295554,109358868000
2020-09-30,AXALTA COATING SYS LTD,AXTA,23420000,519222000
2020-09-30,BANK AMER CORP,BAC,1010100606,24333323000
2020-09-30,BANK OF NEW YORK MELLON CORP,BK,72357453,2484755000
2020-09-30,BARRICK GOLD CORPORATION,GOLD,12000000,337320000
2020-09-30,BIOGEN INC,BIIB,643022,182412000
2020-09-30,BRISTOL-MYERS SQUIBB CO,BMY,29971194,1806963000
2020-09-30,CHARTER COMMUNICATIONS INC N,CHTR,5213461,3254972000
2020-09-30,CHEVRON CORP NEW,CVX,44272770,3187639000
2020-09-30,COCA COLA CO,KO,400000000,19748000000
2020-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,36095570,3091586000
2020-09-30,GENERAL MTRS CO,GM,80000000,2367201000
2020-09-30,GLOBE LIFE INC,GL,6353727,507663000
2020-09-30,JOHNSON & JOHNSON,JNJ,327100,48699000
2020-09-30,JPMORGAN CHASE & CO,JPM,967267,93119000
2020-09-30,KRAFT HEINZ CO,KHC,325634818,9752763000
2020-09-30,KROGER CO,KR,24978439,847019000
2020-09-30,LIBERTY GLOBAL PLC,LBTYA,18010000,378390000
2020-09-30,LIBERTY GLOBAL PLC,LBTYK,7346968,150870000
2020-09-30,LIBERTY LATIN AMERICA LTD,LILA,2630792,21704000
2020-09-30,LIBERTY LATIN AMERICA LTD,LILAK,1430197,11642000
2020-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,492918000
2020-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1429330000
2020-09-30,M & T BK CORP,MTB,2919613,268867000
2020-09-30,MARSH & MCLENNAN COS INC,MMC,3366507,386138000
2020-09-30,MASTERCARD INC,MA,4564756,1543664000
2020-09-30,MERCK & CO. INC,MRK,22403102,1858337000
2020-09-30,MONDELEZ INTL INC,MDLZ,578000,33206000
2020-09-30,MOODYS CORP,MCO,24669778,7150535000
2020-09-30,PFIZER INC,PFE,3711780,136222000
2020-09-30,PNC FINL SVCS GROUP INC,PNC,1919827,211008000
2020-09-30,PROCTER & GAMBLE CO,PG,315400,43837000
2020-09-30,RH,RH,1708348,653648000
2020-09-30,SIRIUS XM HLDGS INC,SIRI,50000000,268000000
2020-09-30,SNOWFLAKE INC,SNOW,6125376,1537469000
2020-09-30,SPDR S&P 500 ETF TR,SPY,39400,13195000
2020-09-30,STORE CAP CORP,STOR,24415168,669708000
2020-09-30,SYNCHRONY FINL,SYF,20128000,526750000
2020-09-30,T-MOBILE US INC,TMUS,2413156,275968000
2020-09-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,385531000
2020-09-30,UNITED PARCEL SERVICE INC,UPS,59400,9898000
2020-09-30,US BANCORP DEL,USB,131961832,4730833000
2020-09-30,VANGUARD INDEX FDS,VOO,43000,13229000
2020-09-30,VERISIGN INC,VRSN,12815613,2625279000
2020-09-30,VERIZON COMMUNICATIONS INC,VZ,58347767,3471109000
2020-09-30,VISA INC,V,9987460,1997192000
2020-09-30,WELLS FARGO & CO NEW,WFC,127380440,2994716000
2020-12-31,ABBVIE INC,ABBV,25533082,2735870000
2020-12-31,AMAZON COM INC,AMZN,533300,1736921000
2020-12-31,AMERICAN EXPRESS CO,AXP,151610700,18331249000
2020-12-31,APPLE INC,AAPL,887135554,117714016000
2020-12-31,AXALTA COATING SYS LTD,AXTA,23420000,668641000
2020-12-31,BANK AMER CORP,BAC,1010100606,30616150000
2020-12-31,BANK OF NEW YORK MELLON CORP,BK,72357453,3070849000
2020-12-31,BIOGEN INC,BIIB,643022,157450000
2020-12-31,BRISTOL-MYERS SQUIBB CO,BMY,33336016,2067833000
2020-12-31,CHARTER COMMUNICATIONS INC N,CHTR,5213461,3448965000
2020-12-31,CHEVRON CORP NEW,CVX,48498965,4095738000
2020-12-31,COCA COLA CO,KO,400000000,21935999000
2020-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,36095570,4237620000
2020-12-31,GENERAL MTRS CO,GM,72500000,3018899000
2020-12-31,GLOBE LIFE INC,GL,6353727,603350000
2020-12-31,JOHNSON & JOHNSON,JNJ,327100,51479000
2020-12-31,KRAFT HEINZ CO,KHC,325634818,11286503000
2020-12-31,KROGER CO,KR,33534017,1065040000
2020-12-31,LIBERTY GLOBAL PLC,LBTYA,18010000,436202000
2020-12-31,LIBERTY GLOBAL PLC,LBTYK,7346968,173756000
2020-12-31,LIBERTY LATIN AMERICA LTD,LILA,2630792,29280000
2020-12-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,14240000
2020-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,641819000
2020-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1879993000
2020-12-31,MARSH & MCLENNAN COS INC,MMC,4267825,499336000
2020-12-31,MASTERCARD INC,MA,4564756,1629344000
2020-12-31,MERCK & CO. INC,MRK,28697435,2347450000
2020-12-31,MONDELEZ INTL INC,MDLZ,578000,33796000
2020-12-31,MOODYS CORP,MCO,24669778,7160156000
2020-12-31,PROCTER & GAMBLE CO,PG,315400,43885000
2020-12-31,RH,RH,1732548,775350000
2020-12-31,SIRIUS XM HLDGS INC,SIRI,50000000,318500000
2020-12-31,SNOWFLAKE INC,SNOW,6125376,1723681000
2020-12-31,SPDR S&P 500 ETF TR,SPY,39400,14731000
2020-12-31,STORE CAP CORP,STOR,24415168,829627000
2020-12-31,SYNCHRONY FINL,SYF,20128000,698642000
2020-12-31,T-MOBILE US INC,TMUS,5242000,706884000
2020-12-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,412916000
2020-12-31,UNITED PARCEL SERVICE INC,UPS,59400,10003000
2020-12-31,US BANCORP DEL,USB,131137998,6109721000
2020-12-31,VANGUARD INDEX FDS,VOO,43000,14779000
2020-12-31,VERISIGN INC,VRSN,12815613,2773299000
2020-12-31,VERIZON COMMUNICATIONS INC,VZ,146716496,8619594000
2020-12-31,VISA INC,V,9987460,2184557000
2020-12-31,WELLS FARGO & CO NEW,WFC,52423867,1582152000
2021-03-31,ABBVIE INC,ABBV,22868178,2474794000
2021-03-31,AMAZON COM INC,AMZN,533300,1650073000
2021-03-31,AMERICAN EXPRESS CO,AXP,151610700,21443817000
2021-03-31,AON PLC,AON,4096146,942564000
2021-03-31,APPLE INC,AAPL,887135554,108363609000
2021-03-31,AXALTA COATING SYS LTD,AXTA,13887037,410779000
2021-03-31,BANK AMER CORP,BAC,1010100606,39080793000
2021-03-31,BANK OF NEW YORK MELLON CORP,BK,72357453,3421785000
2021-03-31,BIOGEN INC,BIIB,643022,179885000
2021-03-31,BRISTOL-MYERS SQUIBB CO,BMY,31032227,1959064000
2021-03-31,CHARTER COMMUNICATIONS INC N,CHTR,5213461,3216810000
2021-03-31,CHEVRON CORP NEW,CVX,23672271,2480617000
2021-03-31,COCA COLA CO,KO,400000000,21083999000
2021-03-31,DAVITA INC,DVA,36095570,3890020000
2021-03-31,GENERAL MTRS CO,GM,67000000,3849820000
2021-03-31,GLOBE LIFE INC,GL,6353727,613961000
2021-03-31,JOHNSON & JOHNSON,JNJ,327100,53759000
2021-03-31,KRAFT HEINZ CO,KHC,325634818,13025393000
2021-03-31,KROGER CO,KR,51060296,1837660000
2021-03-31,LIBERTY GLOBAL PLC,LBTYA,3359831,86213000
2021-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,187642000
2021-03-31,LIBERTY LATIN AMERICA LTD,LILA,2630792,33753000
2021-03-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,16667000
2021-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,655045000
2021-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1905918000
2021-03-31,MARSH & MCLENNAN COS INC,MMC,5287526,644021000
2021-03-31,MASTERCARD INC,MA,4564756,1625281000
2021-03-31,MERCK & CO. INC,MRK,17882388,1378553000
2021-03-31,MONDELEZ INTL INC,MDLZ,578000,33830000
2021-03-31,MOODYS CORP,MCO,24669778,7366643000
2021-03-31,PROCTER & GAMBLE CO,PG,315400,42715000
2021-03-31,RH,RH,1756448,1047897000
2021-03-31,SIRIUS XM HLDGS INC,SIRI,43658800,265882000
2021-03-31,SNOWFLAKE INC,SNOW,6125376,1404426000
2021-03-31,SPDR S&P 500 ETF TR,SPY,39400,15615000
2021-03-31,STORE CAP CORP,STOR,24415168,817909000
2021-03-31,T-MOBILE US INC,TMUS,5242000,656770000
2021-03-31,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,493789000
2021-03-31,UNITED PARCEL SERVICE INC,UPS,59400,10097000
2021-03-31,US BANCORP DEL,USB,129687084,7172993000
2021-03-31,VANGUARD INDEX FDS,VOO,43000,15665000
2021-03-31,VERISIGN INC,VRSN,12815613,2547231000
2021-03-31,VERIZON COMMUNICATIONS INC,VZ,158824575,9235649000
2021-03-31,VISA INC,V,9987460,2114645000
2021-03-31,WELLS FARGO & CO NEW,WFC,675054,26374000
2021-06-30,ABBVIE INC,ABBV,20527861,2312258000
2021-06-30,AMAZON COM INC,AMZN,533300,1834637000
2021-06-30,AMERICAN EXPRESS CO,AXP,151610700,25050635000
2021-06-30,AON PLC,AON,4396000,1049589000
2021-06-30,APPLE INC,AAPL,887135554,121502087000
2021-06-30,BANK AMER CORP,BAC,1010100606,41646448000
2021-06-30,BANK OF NEW YORK MELLON CORP,BK,72357453,3706871000
2021-06-30,BRISTOL-MYERS SQUIBB CO,BMY,26294266,1756983000
2021-06-30,CHARTER COMMUNICATIONS INC N,CHTR,5213461,3761251000
2021-06-30,CHEVRON CORP NEW,CVX,23123920,2421999000
2021-06-30,COCA COLA CO,KO,400000000,21644001000
2021-06-30,DAVITA INC,DVA,36095570,4346990000
2021-06-30,GENERAL MTRS CO,GM,60000000,3550200000
2021-06-30,GLOBE LIFE INC,GL,6353727,605193000
2021-06-30,JOHNSON & JOHNSON,JNJ,327100,53886000
2021-06-30,KRAFT HEINZ CO,KHC,325634818,13279388000
2021-06-30,KROGER CO,KR,61787910,2367094000
2021-06-30,LIBERTY GLOBAL PLC,LBTYK,1876522,50741000
2021-06-30,LIBERTY LATIN AMERICA LTD,LILA,2630792,36463000
2021-06-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,18105000
2021-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,692195000
2021-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,2004432000
2021-06-30,MARSH & MCLENNAN COS INC,MMC,4196692,590391000
2021-06-30,MASTERCARD INC,MA,4564756,1666547000
2021-06-30,MERCK & CO. INC,MRK,9157192,712155000
2021-06-30,MONDELEZ INTL INC,MDLZ,578000,36090000
2021-06-30,MOODYS CORP,MCO,24669778,8939587000
2021-06-30,ORGANON & CO,OGN,1550481,46918000
2021-06-30,PROCTER & GAMBLE CO,PG,315400,42557000
2021-06-30,RH,RH,1791967,1216746000
2021-06-30,SIRIUS XM HLDGS INC,SIRI,43658800,285529000
2021-06-30,SNOWFLAKE INC,SNOW,6125376,1481116000
2021-06-30,SPDR S&P 500 ETF TR,SPY,39400,16866000
2021-06-30,STORE CAP CORP,STOR,24415168,842568000
2021-06-30,T-MOBILE US INC,TMUS,5242000,759199000
2021-06-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,423615000
2021-06-30,UNITED PARCEL SERVICE INC,UPS,59400,12353000
2021-06-30,US BANCORP DEL,USB,128888906,7342802000
2021-06-30,VANGUARD INDEX FDS,VOO,43000,16921000
2021-06-30,VERISIGN INC,VRSN,12815613,2917987000
2021-06-30,VERIZON COMMUNICATIONS INC,VZ,158824575,8898941000
2021-06-30,VISA INC,V,9987460,2335268000
2021-06-30,WELLS FARGO & CO NEW,WFC,675054,30573000
2021-09-30,ABBVIE INC,ABBV,14398488,1553165000
2021-09-30,AMAZON COM INC,AMZN,533300,1751912000
2021-09-30,AMERICAN EXPRESS CO,AXP,151610700,25399340000
2021-09-30,AON PLC,AON,4396000,1256244000
2021-09-30,APPLE INC,AAPL,887135554,125529681000
2021-09-30,BANK AMER CORP,BAC,1010100606,42878771000
2021-09-30,BANK OF NEW YORK MELLON CORP,BK,72357453,3751012000
2021-09-30,BRISTOL-MYERS SQUIBB CO,BMY,22046936,1304517000
2021-09-30,CHARTER COMMUNICATIONS INC N,CHTR,4200626,3056207000
2021-09-30,CHEVRON CORP NEW,CVX,28703519,2911972000
2021-09-30,COCA COLA CO,KO,400000000,20988000000
2021-09-30,DAVITA INC,DVA,36095570,4196471000
2021-09-30,FLOOR & DECOR HLDGS INC,FND,816863,98669000
2021-09-30,GENERAL MTRS CO,GM,60000000,3162600000
2021-09-30,GLOBE LIFE INC,GL,6353727,565672000
2021-09-30,JOHNSON & JOHNSON,JNJ,327100,52827000
2021-09-30,KRAFT HEINZ CO,KHC,325634818,11989874000
2021-09-30,KROGER CO,KR,61787910,2498086000
2021-09-30,LIBERTY LATIN AMERICA LTD,LILA,2630792,34410000
2021-09-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,16846000
2021-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,14860360,700963000
2021-09-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,2051097000
2021-09-30,MARSH & MCLENNAN COS INC,MMC,2741755,415184000
2021-09-30,MASTERCARD INC,MA,4288648,1491077000
2021-09-30,MONDELEZ INTL INC,MDLZ,578000,33628000
2021-09-30,MOODYS CORP,MCO,24669778,8760485000
2021-09-30,PROCTER & GAMBLE CO,PG,315400,44093000
2021-09-30,RH,RH,1791967,1195081000
2021-09-30,ROYALTY PHARMA PLC,RPRX,13145902,475093000
2021-09-30,SIRIUS XM HLDGS INC,SIRI,43658800,266319000
2021-09-30,SNOWFLAKE INC,SNOW,6125376,1852497000
2021-09-30,SPDR S&P 500 ETF TR,SPY,39400,16908000
2021-09-30,STORE CAP CORP,STOR,24415168,782018000
2021-09-30,T-MOBILE US INC,TMUS,5242000,669718000
2021-09-30,TEVA PHARMACEUTICAL INDS LTD,TEVA,42789295,416768000
2021-09-30,UNITED PARCEL SERVICE INC,UPS,59400,10817000
2021-09-30,US BANCORP DEL,USB,126417887,7514279000
2021-09-30,VANGUARD INDEX FDS,VOO,43000,16959000
2021-09-30,VERISIGN INC,VRSN,12815613,2627329000
2021-09-30,VERIZON COMMUNICATIONS INC,VZ,158824575,8578115000
2021-09-30,VISA INC,V,9562460,2130038000
2021-09-30,WELLS FARGO & CO NEW,WFC,675054,31329000
2021-12-31,ABBVIE INC,ABBV,3033561,410744000
2021-12-31,ACTIVISION BLIZZARD INC,ATVI,14658121,975205000
2021-12-31,AMAZON COM INC,AMZN,533300,1778204000
2021-12-31,AMERICAN EXPRESS CO,AXP,151610700,24803511000
2021-12-31,AON PLC,AON,4396000,1321261000
2021-12-31,APPLE INC,AAPL,887135554,157528660000
2021-12-31,BANK AMER CORP,BAC,1010100606,44939376000
2021-12-31,BANK OF NEW YORK MELLON CORP,BK,72357453,4202522000
2021-12-31,BRISTOL-MYERS SQUIBB CO,BMY,5202674,324387000
2021-12-31,CHARTER COMMUNICATIONS INC N,CHTR,3828941,2496355000
2021-12-31,CHEVRON CORP NEW,CVX,38245036,4488055000
2021-12-31,COCA COLA CO,KO,400000000,23684001000
2021-12-31,DAVITA INC,DVA,36095570,4106232000
2021-12-31,FLOOR & DECOR HLDGS INC,FND,843709,109691000
2021-12-31,GENERAL MTRS CO,GM,60000000,3517800000
2021-12-31,GLOBE LIFE INC,GL,6353727,595471000
2021-12-31,JOHNSON & JOHNSON,JNJ,327100,55957000
2021-12-31,KRAFT HEINZ CO,KHC,325634818,11690290000
2021-12-31,KROGER CO,KR,61412910,2779549000
2021-12-31,LIBERTY LATIN AMERICA LTD,LILA,2630792,30675000
2021-12-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,14638000
2021-12-31,LIBERTY MEDIA CORP DEL,FWONK,2118746,133989000
2021-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,20207680,1027561000
2021-12-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,2197142000
2021-12-31,MARSH & MCLENNAN COS INC,MMC,404911,70382000
2021-12-31,MASTERCARD INC,MA,3986648,1432482000
2021-12-31,MONDELEZ INTL INC,MDLZ,578000,38327000
2021-12-31,MOODYS CORP,MCO,24669778,9635522000
2021-12-31,PROCTER & GAMBLE CO,PG,315400,51593000
2021-12-31,RH,RH,1816547,973561000
2021-12-31,ROYALTY PHARMA PLC,RPRX,8648268,344633000
2021-12-31,SNOWFLAKE INC,SNOW,6125376,2074971000
2021-12-31,SPDR S&P 500 ETF TR,SPY,39400,18713000
2021-12-31,STORE CAP CORP,STOR,24415168,839882000
2021-12-31,T-MOBILE US INC,TMUS,5242000,607968000
2021-12-31,UNITED PARCEL SERVICE INC,UPS,59400,12732000
2021-12-31,US BANCORP DEL,USB,126417887,7100894000
2021-12-31,VANGUARD INDEX FDS,VOO,43000,18773000
2021-12-31,VERISIGN INC,VRSN,12815613,3252859000
2021-12-31,VERIZON COMMUNICATIONS INC,VZ,158824575,8252525000
2021-12-31,VISA INC,V,8297460,1798143000
2021-12-31,WELLS FARGO & CO NEW,WFC,675054,32389000
2022-03-31,ACTIVISION BLIZZARD INC,ATVI,64315222,5152292000
2022-03-31,ALLY FINL INC,ALLY,8969420,389990000
2022-03-31,AMAZON COM INC,AMZN,533300,1738531000
2022-03-31,AMERICAN EXPRESS CO,AXP,151610700,28351201000
2022-03-31,AON PLC,AON,4396000,1431470000
2022-03-31,APPLE INC,AAPL,890923410,155564138000
2022-03-31,BANK AMER CORP,BAC,1010100606,41636348000
2022-03-31,BANK OF NEW YORK MELLON CORP,BK,72357453,3591100000
2022-03-31,CELANESE CORP DEL,CE,7880998,1125958000
2022-03-31,CHARTER COMMUNICATIONS INC N,CHTR,3828941,2088764000
2022-03-31,CHEVRON CORP NEW,CVX,159178117,25918973000
2022-03-31,CITIGROUP INC,C,55155797,2945319000
2022-03-31,COCA COLA CO,KO,400000000,24799999000
2022-03-31,DAVITA INC,DVA,36095570,4082770000
2022-03-31,FLOOR & DECOR HLDGS INC,FND,4780000,387180000
2022-03-31,GENERAL MTRS CO,GM,62045847,2713886000
2022-03-31,GLOBE LIFE INC,GL,6353727,639185000
2022-03-31,HP INC,HPQ,104476035,3792480000
2022-03-31,JOHNSON & JOHNSON,JNJ,327100,57972000
2022-03-31,KRAFT HEINZ CO,KHC,325634818,12826755000
2022-03-31,KROGER CO,KR,57985263,3326615000
2022-03-31,LIBERTY LATIN AMERICA LTD,LILA,2630792,25518000
2022-03-31,LIBERTY LATIN AMERICA LTD,LILAK,1284020,12314000
2022-03-31,LIBERTY MEDIA CORP DEL,FWONK,7722451,539336000
2022-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMA,20207680,923692000
2022-03-31,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1975915000
2022-03-31,MARKEL CORP,MKL,420293,620034000
2022-03-31,MARSH & MCLENNAN COS INC,MMC,404911,69005000
2022-03-31,MASTERCARD INC,MA,3986648,1424748000
2022-03-31,MCKESSON CORP,MCK,2921975,894504000
2022-03-31,MONDELEZ INTL INC,MDLZ,578000,36287000
2022-03-31,MOODYS CORP,MCO,24669778,8323829000
2022-03-31,OCCIDENTAL PETE CORP,OXY,136373000,7737804000
2022-03-31,PARAMOUNT GLOBAL,PARA,68947760,2606915000
2022-03-31,PROCTER & GAMBLE CO,PG,315400,48193000
2022-03-31,RH,RH,2170000,707615000
2022-03-31,ROYALTY PHARMA PLC,RPRX,1496372,58299000
2022-03-31,SNOWFLAKE INC,SNOW,6125376,1403507000
2022-03-31,SPDR S&P 500 ETF TR,SPY,39400,17795000
2022-03-31,STORE CAP CORP,STOR,14754811,431283000
2022-03-31,T-MOBILE US INC,TMUS,5242000,672811000
2022-03-31,UNITED PARCEL SERVICE INC,UPS,59400,12739000
2022-03-31,US BANCORP DEL,USB,126417887,6719111000
2022-03-31,VANGUARD INDEX FDS,VOO,43000,17852000
2022-03-31,VERISIGN INC,VRSN,12815613,2850961000
2022-03-31,VERIZON COMMUNICATIONS INC,VZ,1380111,70303000
2022-03-31,VISA INC,V,8297460,1840128000
2022-06-30,ACTIVISION BLIZZARD INC,ATVI,68401150,5325713000
2022-06-30,ALLY FINL INC,ALLY,30000000,1005300000
2022-06-30,AMAZON COM INC,AMZN,10666000,1132836000
2022-06-30,AMERICAN EXPRESS CO,AXP,151610700,21016276000
2022-06-30,AON PLC,AON,4396000,1185514000
2022-06-30,APPLE INC,AAPL,894802319,122337373000
2022-06-30,BANK AMER CORP,BAC,1010100606,31444432000
2022-06-30,BANK OF NEW YORK MELLON CORP,BK,72357453,3018027000
2022-06-30,CELANESE CORP DEL,CE,9156714,1076922000
2022-06-30,CHARTER COMMUNICATIONS INC N,CHTR,3828941,1793974000
2022-06-30,CHEVRON CORP NEW,CVX,161440149,23373304000
2022-06-30,CITIGROUP INC,C,55155797,2536616000
2022-06-30,COCA COLA CO,KO,400000000,25164000000
2022-06-30,DAVITA INC,DVA,36095570,2886202000
2022-06-30,FLOOR & DECOR HLDGS INC,FND,4780000,300949000
2022-06-30,GENERAL MTRS CO,GM,52877359,1679385000
2022-06-30,GLOBE LIFE INC,GL,6353727,619297000
2022-06-30,HP INC,HPQ,104476035,3424725000
2022-06-30,JOHNSON & JOHNSON,JNJ,327100,58064000
2022-06-30,KRAFT HEINZ CO,KHC,325634818,12419712000
2022-06-30,KROGER CO,KR,52437295,2481858000
2022-06-30,LIBERTY LATIN AMERICA LTD,LILA,2630792,20520000
2022-06-30,LIBERTY LATIN AMERICA LTD,LILAK,1284020,10003000
2022-06-30,LIBERTY MEDIA CORP DEL,FWONK,7722451,490143000
2022-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMA,20207680,728285000
2022-06-30,LIBERTY MEDIA CORP DELAWARE,LSXMK,43208291,1557660000
2022-06-30,MARKEL CORP,MKL,467611,604738000
2022-06-30,MARSH & MCLENNAN COS INC,MMC,404911,62862000
2022-06-30,MASTERCARD INC,MA,3986648,1257708000
2022-06-30,MCKESSON CORP,MCK,3198344,1043331000
2022-06-30,MONDELEZ INTL INC,MDLZ,578000,35888000
2022-06-30,MOODYS CORP,MCO,24669778,6709439000
2022-06-30,OCCIDENTAL PETE CORP,OXY,158549729,9335408000
2022-06-30,PARAMOUNT GLOBAL,PARA,78421645,1935448000
2022-06-30,PROCTER & GAMBLE CO,PG,315400,45351000
2022-06-30,RH,RH,2170000,460605000
2022-06-30,SNOWFLAKE INC,SNOW,6125376,851795000
2022-06-30,SPDR S&P 500 ETF TR,SPY,39400,14864000
2022-06-30,STORE CAP CORP,STOR,6928413,180693000
2022-06-30,T-MOBILE US INC,TMUS,5242000,705259000
2022-06-30,UNITED PARCEL SERVICE INC,UPS,59400,10843000
2022-06-30,US BANCORP DEL,USB,119805135,5513432000
2022-06-30,VANGUARD INDEX FDS,VOO,43000,14916000
2022-06-30,VERISIGN INC,VRSN,12815613,2144436000
2022-06-30,VISA INC,V,8297460,1633687000
2022-09-30,ACTIVISION BLIZZARD INC,ATVI,60141866,4470946000
2022-09-30,ALLY FINL INC,ALLY,30000000,834901000
2022-09-30,AMAZON COM INC,AMZN,10666000,1205258000
2022-09-30,AMERICAN EXPRESS CO,AXP,151610700,20453800000
2022-09-30,AON PLC,AON,4396000,1177556000
2022-09-30,APPLE INC,AAPL,894802319,123661679000
2022-09-30,BANK AMER CORP,BAC,1010100606,30505039000
2022-09-30,BANK OF NEW YORK MELLON CORP,BK,62210878,2396364000
2022-09-30,CELANESE CORP DEL,CE,9710183,877219000
2022-09-30,CHARTER COMMUNICATIONS INC N,CHTR,3828941,1161509000
2022-09-30,CHEVRON CORP NEW,CVX,165359318,23757173000
2022-09-30,CITIGROUP INC,C,55155797,2298341000
2022-09-30,COCA COLA CO,KO,400000000,22407999000
